date,DayAvgPrice,IntradayStd,Volume,day_of_week,day_of_year,Log_Profit,DayAvgPrice_diff,real_time,imag_time,c_week_real,c_week_imag,c_month_real,c_month_imag,c_quarter_real,c_quarter_imag,c_year_real,c_year_imag,Target,POLY_1,POLY_2,POLY_3,lambda_C3,lambda_C2,lambda_C1,lambda_T5,lambda_T4,lambda_T3,lambda_T2,lambda_T1,lambda_T_sum,pred,signal,cum_return,return,delta_DAP,delta_Target
2022-11-30,64.11666669444445,0.45865018623520637,0.06541462323616974,2,0.9123287671232877,0.4100082132841997,1.916388805555556,96.27,4.5,1.0,-1.3778466802952568e-12,0.988976844402574,-0.1480702577681512,-0.5191429262458583,0.8546874411905719,0.8654873276017527,0.5009308193361397,64.11666669444445,0.10396122456357186,0.029001466272582592,0.07142207069002678,0.00020005870115113872,0.08360001138774521,1.9280423258132935,4.066302438721952,5.257104902839486,0.28613089499035055,0.3272371447523468,0.3866319602573026,19.60246626128079,63.328465,sell,-0.061872777722222216,0.0,-0.7882021863878066,-0.7882021863878066
2022-12-01,64.10555575,0.4415261866081815,0.027683577157963383,3,0.915068493150685,0.49162814030298885,-0.011110944444453708,96.28,5.0,0.6234898018591275,0.7818314824677156,0.9983303108909024,0.05776322667990542,-0.5766803221148745,0.8169698930104368,0.8567424725212974,0.5157444481311396,64.10555575,0.10037023394559468,0.028327992396056836,0.03375755379121152,0.0001394570162223485,0.049982294697246986,1.8823110083590624,2.471155493298328,5.220797343753356,0.2060412025139597,0.3574747056122656,0.4364840918737747,25.860405486811196,63.332726,sell,-0.061872777722222216,0.0,-0.7728302250976498,-0.7728302250976498
2022-12-02,64.09083322222222,0.2854507716718664,0.028055149379835234,4,0.9178082191780822,0.49177892543085155,-0.014722527777777827,96.29,7.0,-0.22252093395667513,0.9749279121817412,0.9652997532258031,0.26114437850010036,-0.6314881946570055,0.7753854912292569,0.8477440935595912,0.5304054598463586,64.09083322222222,0.06765174708091647,0.023399806901890932,0.03412538588637508,0.00012512993635584095,0.04906360071694488,1.796406274113623,3.334090875336234,5.003086341486078,0.216851368318994,0.31558515524190817,0.4675634764390978,26.994595255465317,63.40756,sell,-0.061872777722222216,0.0,-0.6832747810601063,-0.6832747810601063
2022-12-03,64.09083322222222,0.0,0.0,5,0.9205479452054794,0.49116463444457775,0.0,96.3,0.5,-0.9009688679021697,0.4338837391180762,0.8912874807819483,0.453438669062717,-0.6833071291484352,0.7301310616970927,0.8384948534817103,0.5449095160526058,64.09083322222222,0.007815499577406173,0.019865280850019096,0.006121423390880519,0.0001251208698817679,0.04946091112411122,1.7081226520159416,3.480507070999246,4.3027379752202,0.20902817510205493,0.31402433534644725,0.47694748955149774,26.070418940272354,63.379433,sell,-0.061872777722222216,0.0,-0.7114005439995594,-0.7114005439995594
2022-12-04,64.09083322222222,0.0,0.0,6,0.9232876712328767,0.49116463444457775,0.0,96.31,0.1,-0.9009688679022895,-0.4338837391178274,0.7794356779730383,0.6264822614429799,-0.731891858003131,0.6814208011124439,0.8289974892865679,0.5592523247663497,64.09083322222222,0.007815499577406173,0.019865280850019096,0.006121423390880519,0.00012510829811466885,0.049839764332402205,1.6184373127858622,2.9389740259604915,3.6170075766756353,0.18362850405021897,0.348212504132666,0.4681589918171149,22.45093628006922,63.313866,sell,-0.061872777722222216,0.0,-0.7769675606011219,-0.7769675606011219
2022-12-05,63.95666655555556,0.3050713955473827,0.034332623130842184,0,0.9260273972602739,0.4967691907501402,-0.13416666666665833,96.32,3.0,-0.22252093395694436,-0.9749279121816798,0.6344930030944489,0.7729286053861557,-0.7770124216651816,0.6294852631936748,0.8192548113970901,0.5734296417196432,63.95666655555556,0.071747051889182,0.023844202724497145,0.040363532946578434,0.00012529975328786467,0.04977467829799708,1.43411374828134,2.3564002292569954,2.4562571208641724,0.15711914101407815,0.3712381508989924,0.47164270808692965,19.72003067718031,63.26248,sell,-0.061872777722222216,0.0,-0.6941848661024324,-0.6941848661024324
2022-12-06,64.09361091666666,0.25601511596760723,0.02385851257981651,1,0.9287671232876713,0.4854441692624515,0.1369443611111052,96.33,4.0,0.6234898018589116,-0.7818314824678878,0.46261298445767907,0.88656033444496,-0.8184552570456018,0.5745702674298574,0.8092697028283613,0.5874372716163794,64.09361091666666,0.061481802731711103,0.022709636985377292,0.029936983578216617,0.00012474149695386805,0.04872183388762478,1.2939401540752264,1.352039951079368,2.286559504324455,0.0963177516012735,0.29377003527638135,0.6099122131223451,23.957722925655307,63.463326,sell,-0.061872777722222216,0.0,-0.6302854161783813,-0.6302854161783813
2022-12-07,63.66027772222222,0.27221291369269063,0.03189778480539433,2,0.9315068493150686,0.5093079663880906,-0.43333319444444385,96.34,4.5,1.0,-7.172868653981931e-13,0.2710927728981359,0.9625532237140966,-0.8560242083513011,0.5169357355769943,0.7990451183346677,0.6012710693734872,63.66027772222222,0.06482036145216415,0.022892813224092957,0.0378717687064321,0.00011818604033595079,0.03406267720844147,1.2708310195110668,1.4880373561496802,1.4930477407117175,0.06984234522457995,0.3093933536441663,0.6207643011312538,23.004556169254926,63.04603,sell,-0.061872777722222216,0.0,-0.6142495850151874,-0.6142495850151874
2022-12-08,63.01249988888888,0.22531720497401478,0.02897288075424935,3,0.9342465753424658,0.5185182113646698,-0.6477778333333362,96.35,5.0,0.623489801858611,0.7818314824681275,0.06806334188568247,0.9976810018695117,-0.8895414555231935,0.4568544614050281,0.7885840835350589,0.6149269413476459,63.01249988888888,0.05490476287360271,0.02159972578846924,0.03481906891428467,8.65734741735214e-05,0.021932099718721156,0.9768611822819759,0.6401980943668999,0.7100011635064419,0.04454132512302273,0.3631523879044962,0.592306286972481,17.843473414815005,62.40207,sell,-0.061872777722222216,0.0,-0.6104307970920075,-0.6104307970920075
2022-12-09,64.07722222222223,0.598305278557033,0.043381154429056365,4,0.936986301369863,0.44635167298248035,1.06472233333335,96.36,7.0,-0.22252093395554576,0.974927912181999,-0.13785571222543394,0.9904523222279901,-0.9188483558878646,0.3946108195199011,0.7778896940180519,0.6284008465466144,64.07722222222223,0.13323058896415022,0.035387337020316344,0.04942059812153525,5.696613501575776e-05,0.0251290319668004,0.9941493477618424,0.7434428037303158,0.7611610644358876,0.06732009059409605,0.3502341746782469,0.5824457347276571,18.297845348452324,63.276066,sell,-0.061872777722222216,0.0,-0.8011563958062169,-0.8011563958062169
